ETL_YMD,O_CELL_ID,O_CELL_TP,D_CELL_ID,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT,lon_o,lat_o,lon_d,lat_d
20240318,다사60007975,1,다사60508075,2,15,16,1,3,378,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,127.0469492,37.81774132,127.0525755,37.82677593
20240304,다사48755675,2,다사48755800,1,7,8,1,1,373,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,126.9207506,37.60988421,126.9206632,37.6211505
20240315,다사52507725,0,다사53257825,2,17,19,1,3,373,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,126.9619025,37.79485077,126.9703565,37.80390219
20240317,다사28254175,0,다사30004200,2,12,12,1,3,362,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,126.6899666,37.47332519,126.7097325,37.47571242
20240309,다사29504275,2,다사30754300,0,10,11,1,7,361,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,126.7040065,37.48243408,126.7181202,37.4847817
20240302,다사50254500,0,다사49754400,2,6,7,1,3,358,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,126.9385401,37.50406195,126.9329515,37.49502171
20240327,다사34504425,2,다사35754475,0,10,11,1,7,356,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,126.7604224,37.49632094,126.7745188,37.50091509
20240321,다사27504725,2,다사26254775,1,11,11,1,1,354,145,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6809441,37.52283685,126.6667493,37.52724424
20240306,다사65501175,0,다사65751050,2,20,21,1,3,353,45,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.1126182,37.20505113,127.1154927,37.19379291
20240326,다사50752750,1,다사49752650,2,15,15,1,3,348,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,126.9453617,37.34635496,126.9341395,37.33728802
